Date;Material;Plant;Requested_Volume
05.01.2015;B120;E580;132
06.01.2015;B120;E580;530
07.01.2015;B120;E580;718
08.01.2015;B120;E580;613
09.01.2015;B120;E580;494
10.01.2015;B120;E580;0
11.01.2015;B120;E580;0
12.01.2015;B120;E580;881
13.01.2015;B120;E580;1417
14.01.2015;B120;E580;10558
15.01.2015;B120;E580;2316
16.01.2015;B120;E580;851
17.01.2015;B120;E580;0
18.01.2015;B120;E580;0
19.01.2015;B120;E580;2165
20.01.2015;B120;E580;10333
21.01.2015;B120;E580;434
22.01.2015;B120;E580;1923
23.01.2015;B120;E580;406
24.01.2015;B120;E580;0
25.01.2015;B120;E580;0
26.01.2015;B120;E580;870
27.01.2015;B120;E580;2956
28.01.2015;B120;E580;465
29.01.2015;B120;E580;891
30.01.2015;B120;E580;360
31.01.2015;B120;E580;0
01.02.2015;B120;E580;3
02.02.2015;B120;E580;460
03.02.2015;B120;E580;453
04.02.2015;B120;E580;887
05.02.2015;B120;E580;2515
06.02.2015;B120;E580;2776
07.02.2015;B120;E580;0
08.02.2015;B120;E580;7
09.02.2015;B120;E580;637
10.02.2015;B120;E580;409
11.02.2015;B120;E580;714
12.02.2015;B120;E580;2514
13.02.2015;B120;E580;627
14.02.2015;B120;E580;0
15.02.2015;B120;E580;0
16.02.2015;B120;E580;846
17.02.2015;B120;E580;895
18.02.2015;B120;E580;868
19.02.2015;B120;E580;1502
20.02.2015;B120;E580;181
21.02.2015;B120;E580;36
22.02.2015;B120;E580;92
23.02.2015;B120;E580;839
24.02.2015;B120;E580;2475
25.02.2015;B120;E580;489
26.02.2015;B120;E580;416
27.02.2015;B120;E580;402
28.02.2015;B120;E580;0
01.03.2015;B120;E580;0
02.03.2015;B120;E580;2217
03.03.2015;B120;E580;446
04.03.2015;B120;E580;1603
05.03.2015;B120;E580;1771
06.03.2015;B120;E580;1780
07.03.2015;B120;E580;0
08.03.2015;B120;E580;0
09.03.2015;B120;E580;1786
10.03.2015;B120;E580;549
11.03.2015;B120;E580;467
12.03.2015;B120;E580;1149
13.03.2015;B120;E580;276
14.03.2015;B120;E580;0
15.03.2015;B120;E580;4
16.03.2015;B120;E580;1609
17.03.2015;B120;E580;497
18.03.2015;B120;E580;539
19.03.2015;B120;E580;362
20.03.2015;B120;E580;892
21.03.2015;B120;E580;0
22.03.2015;B120;E580;5
23.03.2015;B120;E580;332
24.03.2015;B120;E580;2252
25.03.2015;B120;E580;480
26.03.2015;B120;E580;1361
27.03.2015;B120;E580;540
28.03.2015;B120;E580;0
29.03.2015;B120;E580;6
30.03.2015;B120;E580;343
31.03.2015;B120;E580;1731
01.04.2015;B120;E580;305
02.04.2015;B120;E580;1908
03.04.2015;B120;E580;8316
04.04.2015;B120;E580;0
05.04.2015;B120;E580;4
06.04.2015;B120;E580;700
07.04.2015;B120;E580;628
08.04.2015;B120;E580;491
09.04.2015;B120;E580;1794
10.04.2015;B120;E580;1183
11.04.2015;B120;E580;0
12.04.2015;B120;E580;0
13.04.2015;B120;E580;2097
14.04.2015;B120;E580;436
15.04.2015;B120;E580;395
16.04.2015;B120;E580;819
17.04.2015;B120;E580;236
18.04.2015;B120;E580;24
19.04.2015;B120;E580;2
20.04.2015;B120;E580;431
21.04.2015;B120;E580;234
22.04.2015;B120;E580;520
23.04.2015;B120;E580;3016
24.04.2015;B120;E580;5815
25.04.2015;B120;E580;0
26.04.2015;B120;E580;30
27.04.2015;B120;E580;1417
28.04.2015;B120;E580;334
29.04.2015;B120;E580;446
30.04.2015;B120;E580;338
01.05.2015;B120;E580;1373
02.05.2015;B120;E580;0
03.05.2015;B120;E580;0
04.05.2015;B120;E580;1573
05.05.2015;B120;E580;1427
06.05.2015;B120;E580;333
07.05.2015;B120;E580;5259
08.05.2015;B120;E580;365
