Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2015-01-02,0,3,706,0,36,0,0
2015-01-03,0,0,0,0,0,0,0
2015-01-04,3818,305,9516,11,5532,7,0
2015-01-05,3065,1373,10835,96,3752,275,0
2015-01-06,3806,260,8285,62,6861,433,36
2015-01-07,2357,1085,16484,14,5857,0,432
2015-01-08,0,0,0,0,0,0,0
2015-01-09,2794,764,8690,180,2948,378,0
2015-01-10,3782,1876,20194,109,7780,124,4
2015-01-11,0,8,0,0,0,0,0
2015-01-12,3823,490,16259,33,27118,122,0
2015-01-13,893,1417,12239,17,2776,0,0
2015-01-14,1287,10558,11220,21,3912,0,96
2015-01-15,1728,2316,10707,4,3470,5,252
2015-01-16,1506,851,7200,4,3508,0,0
2015-01-17,0,0,237,0,0,0,0
2015-01-18,0,0,0,24,0,0,0
2015-01-19,2204,2165,5607,35,1810,0,240
2015-01-20,2514,10333,6436,0,4703,6,0
2015-01-21,2437,434,10171,12,4959,31,196
2015-01-22,1953,1923,7316,18,5283,150,60
2015-01-23,2675,406,5505,40,3842,90,1080
2015-01-24,0,0,0,0,0,0,0
2015-01-25,0,0,0,1,0,0,0
2015-01-26,1766,870,8543,31,2984,36,0
2015-01-27,2989,2956,13862,10,7509,91,12
2015-01-28,2528,465,13392,9,4018,70,12
2015-01-29,2210,891,15022,87,10769,820,60
2015-01-30,2433,360,9782,4,4111,1,480
2015-01-31,0,0,0,6,0,0,0
2015-02-02,2876,460,9771,0,3306,1,144
2015-02-03,2037,2217,10561,20,5041,18,0
2015-02-04,3445,1908,11154,6,5693,62,0
2015-02-05,0,0,0,4,0,0,0
2015-02-06,2820,1140,12624,353,3219,159,0
2015-02-07,3899,1641,9621,69,7522,255,1440
2015-02-08,0,0,45,0,0,0,0
2015-02-09,3045,769,11471,10,5078,78,216
2015-02-10,3070,333,15124,27,8168,2,0
2015-02-11,4499,1704,7443,9,3493,0,0
2015-02-12,5713,621,17576,65,4507,0,192
2015-02-13,3182,627,6981,19,3452,23,960
2015-02-14,0,0,288,0,0,0,0
2015-02-15,0,0,0,0,0,0,0
2015-02-16,2521,846,13722,18,4959,127,0
2015-02-17,2137,895,5631,589,2138,0,0
2015-02-18,2183,868,7771,38,3319,0,28
2015-02-19,2513,1502,17652,15,18948,21,600
2015-02-20,4734,181,8914,12,2676,1,36
2015-02-21,0,36,0,0,0,0,0
2015-02-22,0,92,384,0,312,0,0
2015-02-23,2310,839,7691,87,6044,19,12
2015-02-24,2550,2475,8541,22,1527,4,0
2015-02-25,2265,489,10988,65,5100,30,816
2015-02-26,2415,416,11876,41,13867,1068,3120
2015-02-27,2193,402,12665,241,9842,678,0
2015-02-28,0,0,0,0,0,0,0
2015-03-02,2672,453,9015,116,2177,216,0
2015-03-03,1337,446,17736,18,1918,9,0
