B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
0,3,706,0,36,0,0
0,0,0,0,0,0,0
3818,305,9516,11,5532,7,0
3065,1373,10835,96,3752,275,0
3806,260,8285,62,6861,433,36
2357,1085,16484,14,5857,0,432
0,0,0,0,0,0,0
2794,764,8690,180,2948,378,0
3782,1876,20194,109,7780,124,4
0,8,0,0,0,0,0
3823,490,16259,33,27118,122,0
893,1417,12239,17,2776,0,0
1287,10558,11220,21,3912,0,96
1728,2316,10707,4,3470,5,252
1506,851,7200,4,3508,0,0
0,0,237,0,0,0,0
0,0,0,24,0,0,0
2204,2165,5607,35,1810,0,240
2514,10333,6436,0,4703,6,0
2437,434,10171,12,4959,31,196
1953,1923,7316,18,5283,150,60
2675,406,5505,40,3842,90,1080
0,0,0,0,0,0,0
0,0,0,1,0,0,0
1766,870,8543,31,2984,36,0
2989,2956,13862,10,7509,91,12
2528,465,13392,9,4018,70,12
2210,891,15022,87,10769,820,60
2433,360,9782,4,4111,1,480
0,0,0,6,0,0,0
2876,460,9771,0,3306,1,144
2037,2217,10561,20,5041,18,0
3445,1908,11154,6,5693,62,0
0,0,0,4,0,0,0
2820,1140,12624,353,3219,159,0
3899,1641,9621,69,7522,255,1440
0,0,45,0,0,0,0
3045,769,11471,10,5078,78,216
3070,333,15124,27,8168,2,0
4499,1704,7443,9,3493,0,0
5713,621,17576,65,4507,0,192
3182,627,6981,19,3452,23,960
0,0,288,0,0,0,0
0,0,0,0,0,0,0
2521,846,13722,18,4959,127,0
2137,895,5631,589,2138,0,0
2183,868,7771,38,3319,0,28
2513,1502,17652,15,18948,21,600
4734,181,8914,12,2676,1,36
0,36,0,0,0,0,0
0,92,384,0,312,0,0
2310,839,7691,87,6044,19,12
2550,2475,8541,22,1527,4,0
2265,489,10988,65,5100,30,816
2415,416,11876,41,13867,1068,3120
2193,402,12665,241,9842,678,0
0,0,0,0,0,0,0
2672,453,9015,116,2177,216,0
1337,446,17736,18,1918,9,0
21,8316,8631,18,3920,8,0
0,0,144,0,0,0,0
1986,727,12073,16,4162,56,480
0,0,576,6,816,0,0
2563,1108,11518,2,2114,137,1
2522,4809,13944,9,8433,25,0
0,0,0,8,0,0,0
3755,540,8419,29,2248,6,0
4985,3737,9102,30,2456,589,0
2539,276,9474,217,2878,1,771
0,0,0,0,0,0,0
0,4,0,0,0,0,0
2521,1609,7512,23,2247,29,1
1847,497,7395,26,3202,105,0
2982,539,9911,47,2933,54,0
1946,362,7726,46,2329,101,864
3597,892,7758,30,4714,114,160
0,0,0,0,0,0,0
0,5,288,0,288,0,0
3243,332,11220,41,3248,12,144
2441,2252,8835,13,2723,56,0
2684,480,15151,292,5538,174,432
3176,1361,11080,46,4920,32,1680
3708,540,11545,23,4241,32,0
0,0,0,0,0,0,0
0,6,0,0,0,0,0
4211,343,7836,12,6036,1,0
3214,1731,8431,13,2964,1294,0
2924,887,10387,14,3138,3,144
3308,1603,11476,78,5665,48,0
0,0,0,6,0,0,0
2316,1573,11744,300,4508,132,0
2437,5609,13935,28,5532,4,1632
0,0,0,0,0,0,0
3811,344,11257,71,3138,4,0
3237,432,10907,322,3673,55,1392
0,5,0,0,0,0,0
3708,335,14265,32,6640,228,8
5154,210,12512,29,9616,180,0
3530,2097,12100,37,5834,100,6
4192,436,7474,24,10545,46,0
3474,395,9618,79,5598,106,192
2752,819,12525,19,7429,2,768
963,236,10707,145,2892,89,0
0,24,36,0,0,0,0
0,2,52,0,83,0,0
4208,431,5282,4,1803,9,0
3235,234,6939,63,1876,32,0
2532,520,13302,9,4392,6,0
2031,3016,9713,77,7030,0,1872
3283,5815,12767,54,16777,55,4
0,0,0,6,0,0,0
0,30,0,0,480,0,0
2807,1417,14998,12,5395,566,0
